Time,Amplitude
0.000815,1.411090
0.000816,1.154305
0.000816,0.557679
0.000816,-0.203135
0.000817,-0.904143
0.000817,-1.338961
0.000818,-1.379571
0.000818,-1.014019
0.000818,-0.349927
0.000819,0.417187
0.000819,1.061477
0.000819,1.393255
0.000820,1.314841
0.000820,0.849322
0.000821,0.133752
0.000821,-0.621196
0.000821,-1.193257
0.000822,-1.414008
0.000822,-1.218457
0.000822,-0.664178
0.000823,0.085644
0.000823,0.810251
0.000824,1.296310
0.000824,1.400719
0.000824,1.092740
0.000825,0.463044
0.000825,-0.302977
0.000825,-0.979799
0.000826,-1.368155
0.000826,-1.353710
0.000827,-0.940716
0.000827,-0.250763
0.000827,0.513017
0.000828,1.125759
0.000828,1.407063
0.000828,1.274111
0.000829,0.766044
0.000829,0.032445
0.000830,-0.710706
0.000830,-1.244617
0.000830,-1.412097
0.000831,-1.163839
0.000831,-0.572931
0.000831,0.186654
0.000832,0.891286
0.000832,1.333512
0.000833,1.383136
0.000833,1.025548
0.000833,0.366025
0.000834,-0.401259
0.000834,-1.050409
0.000834,-1.390304
0.000835,-1.320878
0.000835,-0.862568
0.000836,-0.150308
0.000836,0.606205
0.000836,1.184243
0.000837,1.413626
0.000837,1.226820
0.000837,0.678822
0.000838,-0.069029
0.000838,-0.796557
0.000839,-1.289569
0.000839,-1.402916
0.000839,-1.103227
0.000840,-0.478735
0.000840,0.286703
0.000840,0.967732
0.000841,1.363848
0.000841,1.358431
0.000842,0.953075
0.000842,0.267122
0.000842,-0.497475
0.000843,-1.115610
0.000843,-1.405295
0.000843,-1.281244
0.000844,-0.779979
0.000844,-0.049078
0.000845,0.696271
0.000845,1.236630
0.000845,1.412910
0.000846,1.173211
0.000846,0.588105
0.000846,-0.170147
0.000847,-0.878305
0.000847,-1.327880
0.000848,-1.386510
0.000848,-1.036934
0.000848,-0.382073
0.000849,0.385276
0.000849,1.039195
0.000849,1.387161
0.000850,1.326731
0.000850,0.875694
0.000851,0.166843
0.000851,-0.591130
0.000851,-1.175066
0.000852,-1.413049
0.000852,-1.235012
0.000852,-0.693373
0.000853,0.052404
0.000853,0.782752
0.000854,1.282649
0.000854,1.404918
0.000854,1.113561
0.000855,0.494359
0.000855,-0.270389
0.000855,-0.955531
0.000856,-1.359353
0.000856,-1.362964
0.000857,-0.965302
0.000857,-0.283443
0.000857,0.481865
0.000858,1.105306
0.000858,1.403332
0.000858,1.288199
0.000859,0.793805
0.000859,0.065704
0.000860,-0.681740
0.000860,-1.228472
0.000860,-1.413526
0.000861,-1.182421
0.000861,-0.603197
0.000861,0.153616
0.000862,0.865203
0.000862,1.322063
0.000863,1.389691
0.000863,1.048177
0.000863,0.398067
0.000864,-0.369239
0.000864,-1.027837
0.000864,-1.383826
0.000865,-1.332401
0.000865,-0.888700
0.000866,-0.183355
0.000866,0.575972
0.000866,1.165726
0.000867,1.412275
0.000867,1.243034
0.000867,0.707827
0.000868,-0.035772
0.000868,-0.768840
0.000869,-1.275552
0.000869,-1.406725
0.000869,-1.123741
0.000870,-0.509914
0.000870,0.254038
0.000870,0.943198
0.000871,1.354669
0.000871,1.367309
0.000872,0.977396
0.000872,0.299726
0.000872,-0.466188
0.000873,-1.094849
0.000873,-1.401174
0.000873,-1.294976
0.000874,-0.807521
0.000874,-0.082321
0.000875,0.667114
0.000875,1.220143
0.000875,1.413947
0.000876,1.191467
0.000876,0.618205
0.000876,-0.137065
0.000877,-0.851981
0.000877,-1.316063
0.000878,-1.392680
0.000878,-1.059275
0.000878,-0.414006
0.000879,0.353151
0.000879,1.016336
0.000879,1.380300
0.000880,1.337886
0.000880,0.901582
0.000881,0.199841
0.000881,-0.560736
0.000881,-1.156225
0.000882,-1.411307
0.000882,-1.250883
0.000882,-0.722184
0.000883,0.019135
0.000883,0.754821
0.000884,1.268278
0.000884,1.408338
0.000884,1.133766
0.000885,0.525399
0.000885,-0.237651
0.000885,-0.930734
0.000886,-1.349798
0.000886,-1.371464
0.000887,-0.989354
0.000887,-0.315967
0.000887,0.450446
0.000888,1.084241
0.000888,1.398823
0.000888,1.301574
0.000889,0.821125
0.000889,0.098927
0.000890,-0.652396
0.000890,-1.211646
0.000890,-1.414172
0.000891,-1.200349
0.000891,-0.633128
0.000891,0.120494
0.000892,0.838641
0.000892,1.309881
0.000893,1.395477
0.000893,1.070226
0.000893,0.429888
0.000894,-0.337014
0.000894,-1.004695
0.000894,-1.376582
0.000895,-1.343186
0.000895,-0.914339
0.000896,-0.216300
0.000896,0.545421
0.000896,1.146563
0.000897,1.410143
0.000897,1.258559
0.000897,0.736440
0.000898,-0.002496
0.000898,-0.740697
0.000899,-1.260828
0.000899,-1.409756
0.000899,-1.143634
0.000900,-0.540812
0.000900,0.221232
0.000900,0.918142
0.000901,1.344740
0.000901,1.375430
0.000901,1.001176
0.000902,0.332164
0.000902,-0.434642
0.000903,-1.073483
0.000903,-1.396278
0.000903,-1.307991
0.000904,-0.834616
0.000904,-0.115519
0.000904,0.637588
0.000905,1.202981
0.000905,1.414202
0.000906,1.209064
0.000906,0.647963
0.000906,-0.103906
0.000907,-0.825184
0.000907,-1.303518
0.000907,-1.398080
0.000908,-1.081029
0.000908,-0.445711
0.000909,0.320830
0.000909,0.992915
0.000909,1.372674
0.000910,1.348300
0.000910,0.926970
0.000910,0.232729
0.000911,-0.530031
0.000911,-1.136743
0.000912,-1.408784
0.000912,-1.266061
0.000912,0.750595
0.000913,0.014144
0.000913,-0.726471
0.000913,-1.253204
0.000914,-1.410978
0.000914,-1.153343
0.000915,-0.556149
0.000915,0.204782
0.000915,0.905422
0.000916,1.339495
0.000916,1.379204
0.000916,1.012859
0.000917,0.348315
0.000917,-0.418777
0.000918,-1.062576
0.000918,-1.393539
0.000918,-1.314228
0.000919,-0.847991
0.000919,-0.132095
0.000919,0.622691
0.000920,1.194149
0.000920,1.414035
0.000921,1.217612
0.000921,0.662708
0.000921,-0.087305
0.000922,-0.811614
0.000922,-1.296974
0.000922,-1.400489
0.000923,-1.091683
0.000923,-0.461472
0.000924,0.304602
0.000924,0.980998
0.000924,1.368575
0.000925,1.353227
0.000925,0.939473
